,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
72,"[391.0, 47737.0, 1906.0000000000002, 3706.0000000000005]","[47737.0, 3706.0000000000005, 1906.0000000000002, 391.0]","[391.0, 1906.0000000000002, 3706.0000000000005, 47737.0]",0.0,0.0,0.0,0.0,8.448443374308283e-05,47737.0,391.0,47346.0
73,"[47737.0, 1906.0000000000002, 3706.0000000000005, 425.0]","[47737.0, 3706.0000000000005, 1906.0000000000002, 425.0]","[425.0, 1906.0000000000002, 3706.0000000000005, 47737.0]",0.0,0.0,0.0,0.0,8.454514710855597e-05,47737.0,425.0,47312.0
74,"[1906.0000000000002, 3706.0000000000005, 425.0, 6725.0]","[6725.0, 3706.0000000000005, 1906.0000000000002, 425.0]","[425.0, 1906.0000000000002, 3706.0000000000005, 6725.0]",0.0,0.0,0.0,0.0,0.0006349206349206349,6725.0,425.0,6300.0
75,"[3706.0000000000005, 425.0, 6725.0, 1583.0]","[6725.0, 3706.0000000000005, 1583.0, 425.0]","[425.0, 1583.0, 3706.0000000000005, 6725.0]",0.0,0.0,0.0,0.0,0.0006349206349206349,6725.0,425.0,6300.0
76,"[425.0, 6725.0, 1583.0, 2520.0]","[6725.0, 2520.0, 1583.0, 425.0]","[425.0, 1583.0, 2520.0, 6725.0]",0.0,0.0,0.0,0.0,0.0006349206349206349,6725.0,425.0,6300.0
77,"[6725.0, 1583.0, 2520.0, 430.0]","[6725.0, 2520.0, 1583.0, 430.0]","[430.0, 1583.0, 2520.0, 6725.0]",0.0,0.0,0.0,0.0,0.0006354249404289118,6725.0,430.0,6295.0
78,"[1583.0, 2520.0, 430.0, 2725.0]","[2725.0, 2520.0, 1583.0, 430.0]","[430.0, 1583.0, 2520.0, 2725.0]",0.0,0.0,0.0,0.0,0.0017429193899782135,2725.0,430.0,2295.0
79,"[2520.0, 430.0, 2725.0, 929.0000000000001]","[2725.0, 2520.0, 929.0000000000001, 430.0]","[430.0, 929.0000000000001, 2520.0, 2725.0]",0.0,0.0,0.0,0.0,0.0017429193899782135,2725.0,430.0,2295.0
80,"[430.0, 2725.0, 929.0000000000001, 3054.0]","[3054.0, 2725.0, 929.0000000000001, 430.0]","[430.0, 929.0000000000001, 2725.0, 3054.0]",0.0,0.0,0.0,0.0,0.001524390243902439,3054.0,430.0,2624.0
81,"[2725.0, 929.0000000000001, 3054.0, 7836.000000000001]","[7836.000000000001, 3054.0, 2725.0, 929.0000000000001]","[929.0000000000001, 2725.0, 3054.0, 7836.000000000001]",0.0,0.0,0.0,0.0,0.0005791226292167366,7836.000000000001,929.0000000000001,6907.000000000001
